User_ID,Session_ID,Date,Traffic_Source,Device_Type,Region,Product_Category,Product_ID,Page_View,Product_View,Add_to_Cart,Checkout,Purchase,Time_On_Page,Bounce_Flag,Payment_Method,Discount,Order_Value,Is_Returning_User
U9132,S116589,2025-03-11,Paid Ads,Desktop,East,Fashion,P1072,1,1,0,0,0,112.64,0,Credit Card,1,0.0,0
U11299,S149401,2025-05-19,Affiliate,Desktop,North,Fashion,P1034,1,1,0,0,0,207.34,0,UPI,1,0.0,1
U12786,S131324,2025-06-22,Social Media,Mobile,South,Sports,P1333,1,1,1,0,0,97.17,0,Credit Card,0,0.0,1
U5137,S145825,2025-01-02,Direct,Mobile,West,Electronics,P1028,1,0,0,0,0,13.51,1,Credit Card,0,0.0,1
U11955,S114973,2025-05-18,Organic Search,Mobile,North,Beauty,P1069,1,1,0,0,0,23.53,0,UPI,0,0.0,1
U17003,S110055,2025-04-03,Social Media,Mobile,North,Grocery,P1348,1,1,1,0,0,66.16,0,Debit Card,1,0.0,1
U6051,S111030,2025-06-18,Paid Ads,Desktop,North,Home & Kitchen,P1121,1,0,0,0,0,18.53,1,Debit Card,1,0.0,1
U13405,S128821,2025-04-01,Social Media,Mobile,North,Beauty,P1207,1,1,0,0,0,66.48,0,UPI,1,0.0,0
U3567,S102684,2025-04-13,Organic Search,Mobile,East,Fashion,P1089,1,1,0,0,0,118.97,0,Debit Card,0,0.0,0
U4421,S132670,2025-01-30,Social Media,Mobile,West,Fashion,P1399,1,1,0,0,0,40.57,0,UPI,1,0.0,1
U13013,S118350,2025-06-03,Direct,Mobile,North,Beauty,P1278,1,0,0,0,0,17.55,1,Credit Card,0,0.0,0
U4721,S109053,2025-04-23,Email,Desktop,South,Electronics,P1151,1,1,1,1,1,73.24,0,UPI,1,6463.03,0
U9652,S140386,2025-04-04,Social Media,Desktop,North,Fashion,P1196,1,0,0,0,0,16.47,1,Wallet,1,0.0,1
U16044,S135965,2025-03-31,Organic Search,Desktop,West,Electronics,P1382,1,1,0,0,0,107.18,0,Wallet,1,0.0,1
U5995,S142090,2025-02-05,Paid Ads,Mobile,West,Fashion,P1482,1,1,1,0,0,131.86,0,UPI,0,0.0,1
U8795,S127228,2025-04-21,Organic Search,Mobile,Central,Grocery,P1440,1,1,1,0,0,71.61,0,UPI,0,0.0,1
U3501,S145409,2025-05-17,Email,Mobile,West,Books,P1414,1,1,0,0,0,94.01,0,Wallet,0,0.0,0
U11100,S103596,2025-04-15,Social Media,Mobile,South,Fashion,P1276,1,1,0,0,0,121.48,0,Wallet,0,0.0,1
U9143,S127366,2025-06-03,Organic Search,Mobile,Central,Fashion,P1382,1,1,0,0,0,116.41,0,Debit Card,1,0.0,1
U4539,S131394,2025-04-17,Organic Search,Desktop,East,Electronics,P1143,1,0,0,0,0,15.44,1,UPI,0,0.0,1
U620,S139865,2025-02-17,Organic Search,Desktop,East,Home & Kitchen,P1252,1,0,0,0,0,4.52,1,Debit Card,1,0.0,1
U13095,S135902,2025-02-10,Paid Ads,Desktop,South,Home & Kitchen,P1170,1,0,0,0,0,5.89,1,Credit Card,1,0.0,1
U700,S110169,2025-03-30,Social Media,Mobile,South,Home & Kitchen,P1341,1,1,0,0,0,83.52,0,Credit Card,1,0.0,1
U1892,S101343,2025-06-28,Organic Search,Tablet,East,Electronics,P1286,1,1,1,1,1,50.38,0,Credit Card,1,7771.4,1
U15785,S134419,2025-04-02,Organic Search,Mobile,West,Fashion,P1356,1,1,1,1,0,71.57,0,Net Banking,0,0.0,1
U17713,S113498,2025-02-07,Affiliate,Desktop,West,Sports,P1416,1,0,0,0,0,8.95,1,UPI,0,0.0,1
U9607,S100028,2025-03-27,Paid Ads,Mobile,North,Grocery,P1424,1,0,0,0,0,3.95,1,COD,0,0.0,1
U86,S140561,2025-04-16,Organic Search,Mobile,West,Sports,P1293,1,1,0,0,0,63.62,0,UPI,0,0.0,1
U16735,S144020,2025-05-26,Social Media,Mobile,West,Home & Kitchen,P1048,1,0,0,0,0,22.98,1,COD,1,0.0,0
U4696,S149524,2025-01-20,Affiliate,Mobile,South,Grocery,P1041,1,1,1,0,0,79.97,0,UPI,1,0.0,1
U10367,S120439,2025-04-21,Paid Ads,Mobile,South,Electronics,P1445,1,1,1,0,0,99.55,0,UPI,0,0.0,1
U16885,S115863,2025-05-26,Organic Search,Mobile,South,Sports,P1335,1,0,0,0,0,11.41,1,Credit Card,0,0.0,1
U14067,S124480,2025-02-25,Direct,Desktop,South,Sports,P1438,1,0,0,0,0,8.17,1,Credit Card,1,0.0,0
U15960,S108101,2025-05-25,Email,Mobile,West,Home & Kitchen,P1127,1,1,0,0,0,44.41,0,Wallet,1,0.0,1
U6671,S117733,2025-03-29,Direct,Mobile,Central,Electronics,P1470,1,0,0,0,0,22.55,1,COD,1,0.0,0
U5759,S110271,2025-02-15,Organic Search,Mobile,West,Grocery,P1422,1,0,0,0,0,8.18,1,COD,0,0.0,0
U2917,S130722,2025-01-13,Organic Search,Desktop,East,Electronics,P1438,1,0,0,0,0,5.29,1,UPI,0,0.0,0
U2337,S139528,2025-05-18,Organic Search,Desktop,East,Books,P1386,1,0,0,0,0,11.4,1,Credit Card,1,0.0,1
U5404,S129422,2025-04-30,Paid Ads,Mobile,East,Electronics,P1399,1,0,0,0,0,25.49,1,UPI,0,0.0,1
U1704,S116461,2025-05-16,Social Media,Mobile,North,Beauty,P1058,1,0,0,0,0,6.6,1,Wallet,0,0.0,0
U384,S121625,2025-03-28,Social Media,Mobile,North,Beauty,P1250,1,0,0,0,0,9.24,1,Debit Card,1,0.0,1
U2558,S143647,2025-03-02,Organic Search,Mobile,West,Fashion,P1458,1,0,0,0,0,7.04,1,UPI,0,0.0,0
U7006,S122834,2025-01-09,Direct,Mobile,South,Home & Kitchen,P1327,1,1,1,0,0,70.48,0,Wallet,1,0.0,1
U5055,S133778,2025-01-02,Direct,Mobile,,Electronics,P1209,1,1,1,1,1,81.35,0,Debit Card,1,7411.01,1
U12155,S117443,2025-06-10,Organic Search,Mobile,North,Electronics,P1052,1,1,0,0,0,85.87,0,COD,0,0.0,1
U9391,S139310,2025-02-02,Organic Search,Mobile,East,Fashion,P1337,1,0,0,0,0,9.86,1,UPI,0,0.0,1
U4703,S124203,2025-05-06,Email,Desktop,East,Electronics,P1212,1,1,1,0,0,86.4,0,UPI,1,0.0,0
U8275,S106050,2025-03-07,Direct,Mobile,Central,Fashion,P1456,1,1,0,0,0,167.27,0,COD,1,0.0,1
U10084,S103875,2025-04-01,Organic Search,Desktop,West,Home & Kitchen,P1255,1,1,0,0,0,90.61,0,Net Banking,0,0.0,1
U17396,S110198,2025-03-16,Organic Search,Mobile,North,Fashion,P1486,1,1,0,0,0,124.32,0,UPI,1,0.0,0
U17743,S144998,2025-03-23,Paid Ads,Mobile,West,Sports,P1256,1,1,0,0,0,147.77,0,COD,0,0.0,0
U2098,S120046,2025-05-07,Paid Ads,Desktop,North,Grocery,P1357,1,1,0,0,0,131.52,0,COD,0,0.0,1
U9427,S110026,2025-01-28,Affiliate,Mobile,East,Sports,P1137,1,1,0,0,0,147.46,0,UPI,1,0.0,1
U15361,S103378,2025-03-17,Direct,Mobile,North,Home & Kitchen,P1364,1,0,0,0,0,15.46,1,UPI,1,0.0,1
U5020,S147229,2025-03-26,Organic Search,Desktop,North,Fashion,P1025,1,1,0,0,0,52.94,0,UPI,1,0.0,1
U11831,S133350,2025-02-24,Organic Search,Mobile,East,Home & Kitchen,P1364,1,0,0,0,0,14.66,1,Debit Card,1,0.0,0
U13814,S130814,2025-05-14,Organic Search,Desktop,,Fashion,P1184,1,1,1,1,1,116.48,0,UPI,0,1395.85,1
U15023,S142211,2025-05-14,Affiliate,Tablet,,Sports,P1341,1,1,0,0,0,114.44,0,UPI,0,0.0,1
U14501,S149637,2025-03-10,Direct,Mobile,Central,Grocery,P1310,1,0,0,0,0,12.5,1,COD,1,0.0,1
U6242,S144276,2025-03-23,Direct,Mobile,South,Fashion,P1444,1,1,0,0,0,162.53,0,UPI,0,0.0,1
U739,S104140,2025-02-07,Email,Desktop,North,Electronics,P1042,1,1,0,0,0,138.5,0,Net Banking,0,0.0,1
U3352,S134086,2025-03-08,Direct,Desktop,East,Books,P1427,1,0,0,0,0,8.85,1,COD,0,0.0,1
U11747,S149670,2025-03-20,Paid Ads,Mobile,East,Sports,P1334,1,1,1,0,0,115.62,0,UPI,0,0.0,0
U6491,S129176,2025-06-07,Social Media,Desktop,North,Home & Kitchen,P1226,1,1,1,0,0,87.46,0,UPI,0,0.0,1
U813,S104133,2025-02-21,Email,Mobile,North,Books,P1205,1,1,1,1,0,55.02,0,Wallet,0,0.0,1
U14058,S108998,2025-04-04,Direct,Desktop,Central,Beauty,P1313,1,1,1,0,0,108.33,0,Net Banking,0,0.0,1
U13257,S114501,2025-05-10,Direct,Mobile,North,Home & Kitchen,P1241,1,0,0,0,0,10.84,1,Wallet,1,0.0,1
U232,S147235,2025-04-01,Social Media,Mobile,Central,Fashion,P1222,1,1,0,0,0,81.39,0,Credit Card,0,0.0,1
U142,S115977,2025-06-19,Organic Search,Mobile,West,Home & Kitchen,P1082,1,1,0,0,0,102.93,0,Credit Card,0,0.0,0
U1919,S113660,2025-04-30,Organic Search,Desktop,East,Fashion,P1281,1,1,1,1,1,28.92,0,Credit Card,1,1895.52,1
U12774,S145194,2025-01-29,Organic Search,Mobile,Central,Sports,P1344,1,1,0,0,0,119.62,0,Debit Card,1,0.0,1
U8595,S114975,2025-02-22,Paid Ads,Mobile,South,Beauty,P1173,1,1,1,0,0,81.54,0,UPI,0,0.0,0
U2732,S135856,2025-02-26,Social Media,Desktop,Central,Grocery,P1455,1,0,0,0,0,14.54,1,COD,0,0.0,1
U12567,S125930,2025-01-22,Email,Mobile,East,Home & Kitchen,P1462,1,1,0,0,0,69.25,0,Credit Card,1,0.0,1
U1504,S147153,2025-04-03,Paid Ads,Tablet,Central,Home & Kitchen,P1101,1,0,0,0,0,8.16,1,Debit Card,1,0.0,1
U516,S126335,2025-02-10,Paid Ads,Mobile,West,Grocery,P1053,1,1,1,1,1,92.28,0,Wallet,1,529.32,1
U5037,S125638,2025-02-12,Email,Mobile,South,Electronics,P1414,1,1,0,0,0,183.31,0,Wallet,1,0.0,0
U1760,S119899,2025-02-24,Affiliate,Mobile,South,Electronics,P1167,1,0,0,0,0,16.69,1,Debit Card,0,0.0,0
U1968,S131470,2025-02-18,Organic Search,Mobile,West,Electronics,P1467,1,0,0,0,0,11.22,1,Debit Card,0,0.0,1
U10605,S139322,2025-04-22,Paid Ads,Mobile,West,Grocery,P1405,1,0,0,0,0,3.87,1,UPI,1,0.0,1
U16216,S111127,2025-05-31,Social Media,Desktop,West,Electronics,P1142,1,1,0,0,0,188.59,0,UPI,1,0.0,0
U11216,S121672,2025-03-06,Direct,Tablet,South,Beauty,P1079,1,0,0,0,0,5.72,1,Net Banking,0,0.0,1
U713,S143020,2025-06-24,Social Media,Mobile,South,Home & Kitchen,P1208,1,0,0,0,0,-1.0,1,Debit Card,0,0.0,0
U371,S114856,2025-02-11,Organic Search,Mobile,South,Sports,P1300,1,1,0,0,0,62.85,0,UPI,1,0.0,1
U16717,S141648,2025-05-02,Organic Search,Desktop,West,Electronics,P1078,1,1,1,0,0,70.25,0,UPI,0,0.0,1
U4204,S115135,2025-03-29,Affiliate,Mobile,West,Home & Kitchen,P1252,1,1,1,0,0,191.91,0,Wallet,0,0.0,1
U5782,S144862,2025-06-20,Organic Search,Mobile,West,Electronics,P1233,1,1,0,0,0,120.54,0,Wallet,1,0.0,0
U2450,S128570,2025-06-21,Social Media,Desktop,West,Books,P1443,1,0,0,0,0,13.5,1,Credit Card,1,0.0,1
U4913,S124450,2025-05-30,Email,Mobile,South,Books,P1088,1,1,0,0,0,118.39,0,COD,1,0.0,0
U10949,S121602,2025-01-09,Social Media,Mobile,East,Fashion,P1221,1,0,0,0,0,13.39,1,COD,1,0.0,1
U4792,S116255,2025-03-05,Email,Mobile,South,Books,P1094,1,1,0,0,0,21.59,0,Credit Card,0,0.0,1
U13042,S138249,2025-03-21,Social Media,Mobile,North,Home & Kitchen,P1358,1,0,0,0,0,3.58,1,UPI,0,0.0,0
U9146,S124833,2025-03-02,Organic Search,Desktop,East,Fashion,P1240,1,1,1,0,0,172.26,0,Debit Card,1,0.0,0
U4348,S117841,2025-04-17,Direct,Mobile,South,Electronics,P1282,1,1,1,0,0,93.95,0,Debit Card,1,0.0,1
U202,S149283,2025-03-20,Direct,Mobile,East,Fashion,P1203,1,1,0,0,0,64.96,0,Debit Card,1,0.0,1
U5312,S124189,2025-03-27,Email,Tablet,Central,Beauty,P1107,1,0,0,0,0,7.27,1,UPI,0,0.0,0
U16457,S116333,2025-03-11,Paid Ads,Mobile,South,Beauty,P1435,1,0,0,0,0,8.14,1,UPI,0,0.0,1
U11928,S129348,2025-05-09,Direct,Tablet,North,Beauty,P1027,1,1,0,0,0,25.4,0,UPI,1,0.0,0
U16289,S122928,2025-01-11,Organic Search,Mobile,North,Sports,P1366,1,1,1,0,0,70.78,0,Debit Card,1,0.0,1
U12471,S133966,2025-04-24,Direct,Mobile,Central,Books,P1078,1,1,1,0,0,97.29,0,UPI,0,0.0,1
U6784,S133695,2025-05-04,Direct,Mobile,South,Beauty,P1240,1,1,0,0,0,93.73,0,UPI,1,0.0,1
U15267,S141091,2025-06-21,Email,Mobile,Central,Sports,P1088,1,1,0,0,0,59.3,0,Credit Card,1,0.0,1
U4674,S149819,2025-03-24,Paid Ads,Mobile,South,Home & Kitchen,P1215,1,0,0,0,0,18.56,1,UPI,0,0.0,1
U3071,S111315,2025-03-07,Direct,Tablet,South,Fashion,P1424,1,1,1,0,0,83.28,0,UPI,1,0.0,0
U13339,S132410,2025-03-07,Paid Ads,Desktop,Central,Electronics,P1164,1,1,1,0,0,30.16,0,UPI,1,0.0,0
U17205,S149660,2025-03-28,Social Media,Tablet,Central,Beauty,P1382,1,0,0,0,0,1.0,1,Wallet,1,0.0,0
U15999,S125050,2025-05-08,Email,Desktop,North,Beauty,P1087,1,0,0,0,0,1.0,1,COD,1,0.0,1
U7559,S128829,2025-05-21,Direct,Mobile,West,Grocery,P1076,1,0,0,0,0,4.9,1,UPI,0,0.0,0
U1090,S111969,2025-02-19,Direct,Mobile,West,Electronics,P1030,1,1,0,0,0,16.37,0,Credit Card,1,0.0,1
U12025,S120262,2025-06-12,Direct,Desktop,South,Electronics,P1073,1,1,0,0,0,23.06,0,Wallet,0,0.0,0
U9410,S127612,2025-05-15,Organic Search,Desktop,South,Electronics,P1445,1,1,1,0,0,70.39,0,Credit Card,0,0.0,1
U14313,S117948,2025-01-21,Direct,Mobile,West,Fashion,P1459,1,1,0,0,0,62.23,0,COD,1,0.0,0
U979,S121807,2025-02-23,Organic Search,Desktop,North,Books,P1476,1,1,0,0,0,143.45,0,UPI,0,0.0,0
U13684,S101453,2025-06-05,Organic Search,Desktop,South,Sports,P1151,1,1,0,0,0,105.15,0,UPI,0,0.0,1
U8059,S147431,2025-01-13,Social Media,Desktop,North,Grocery,P1471,1,0,0,0,0,18.98,1,UPI,0,0.0,0
U2436,S110642,2025-04-26,Organic Search,Desktop,West,Grocery,P1456,1,1,0,0,0,117.45,0,Net Banking,0,0.0,0
U10764,S119559,2025-02-28,Organic Search,Mobile,South,Home & Kitchen,P1491,1,1,1,0,0,117.19,0,Credit Card,1,0.0,1
U17643,S111431,2025-06-14,Paid Ads,Mobile,West,Beauty,P1316,1,1,0,0,0,68.29,0,Wallet,1,0.0,0
U17397,S114961,2025-03-29,Organic Search,Desktop,East,Home & Kitchen,P1454,1,0,0,0,0,20.49,1,Debit Card,1,0.0,1
U4653,S126955,2025-05-09,Organic Search,Desktop,West,Beauty,P1440,1,1,1,1,1,55.57,0,Net Banking,1,526.39,0
U9795,S136055,2025-04-09,Direct,Desktop,South,Home & Kitchen,P1427,1,1,1,1,0,41.4,0,UPI,0,0.0,1
U3579,S122876,2025-06-25,Paid Ads,Mobile,East,Beauty,P1326,1,0,0,0,0,13.79,1,UPI,0,0.0,0
U13535,S139523,2025-05-07,Social Media,Mobile,East,Beauty,P1407,1,1,1,0,0,128.03,0,COD,1,0.0,1
U5861,S111085,2025-05-28,Organic Search,Mobile,East,Beauty,P1233,1,1,0,0,0,58.17,0,Credit Card,1,0.0,1
U9845,S117869,2025-06-14,Direct,Desktop,North,Beauty,P1453,1,0,0,0,0,5.7,1,UPI,1,0.0,1
U3056,S143106,2025-03-03,Paid Ads,Mobile,Central,Home & Kitchen,P1016,1,1,0,0,0,37.58,0,UPI,0,0.0,0
U3164,S148065,2025-03-13,Organic Search,Mobile,South,Sports,P1362,1,0,0,0,0,23.65,1,Wallet,0,0.0,1
U4176,S109482,2025-05-18,Paid Ads,Mobile,East,Sports,P1401,1,1,0,0,0,109.66,0,Credit Card,0,0.0,1
U14044,S126233,2025-03-23,Organic Search,Tablet,North,Fashion,P1069,1,0,0,0,0,3.28,1,UPI,1,0.0,1
U8030,S107907,2025-03-31,Organic Search,Desktop,South,Home & Kitchen,P1350,1,0,0,0,0,1.51,1,UPI,1,0.0,1
U16914,S118322,2025-04-18,Paid Ads,Mobile,East,Electronics,P1202,1,0,0,0,0,15.82,1,Debit Card,1,0.0,1
U16171,S109697,2025-05-11,Direct,Mobile,Central,Fashion,P1058,1,0,0,0,0,19.32,1,UPI,1,0.0,1
U1522,S112032,2025-03-19,Paid Ads,Desktop,Central,Books,P1118,1,0,0,0,0,6.09,1,Credit Card,1,0.0,0
U913,S124357,2025-03-14,Paid Ads,Mobile,South,Fashion,P1029,1,0,0,0,0,15.93,1,UPI,0,0.0,0
U11677,S115258,2025-01-01,Paid Ads,Mobile,Central,Home & Kitchen,P1461,1,1,0,0,0,62.5,0,UPI,0,0.0,1
U3953,S130276,2025-06-22,Email,Mobile,South,Books,P1138,1,0,0,0,0,13.12,1,Credit Card,1,0.0,0
U9968,S133594,2025-01-22,Organic Search,Mobile,Central,Electronics,P1285,1,1,1,1,0,120.62,0,Credit Card,1,0.0,0
U11954,S139595,2025-01-27,Direct,Mobile,North,Sports,P1309,1,1,1,0,0,49.22,0,Credit Card,0,0.0,1
U6715,S123790,2025-04-09,Direct,Mobile,Central,Sports,P1085,1,1,0,0,0,34.87,0,Credit Card,1,0.0,0
U13569,S143184,2025-02-17,Paid Ads,Desktop,East,Books,P1394,1,0,0,0,0,14.94,1,Credit Card,0,0.0,1
U15941,S105603,2025-01-27,Paid Ads,Mobile,North,Beauty,P1093,1,0,0,0,0,11.2,1,Credit Card,0,0.0,0
U6972,S123181,2025-01-31,Social Media,Mobile,Central,Home & Kitchen,P1449,1,1,0,0,0,109.71,0,COD,0,0.0,0
U11440,S123384,2025-01-24,Paid Ads,Mobile,Central,Beauty,P1496,1,0,0,0,0,17.6,1,UPI,1,0.0,1
U10346,S122133,2025-04-08,Organic Search,Mobile,North,Beauty,P1246,1,1,0,0,0,85.06,0,UPI,1,0.0,1
U2175,S104522,2025-03-11,Email,Mobile,East,Home & Kitchen,P1180,1,1,0,0,0,122.46,0,COD,0,0.0,1
U16913,S139774,2025-01-21,Paid Ads,Mobile,West,Grocery,P1304,1,1,1,0,0,151.24,0,UPI,0,0.0,1
U6210,S113493,2025-06-24,Paid Ads,Mobile,North,Books,P1385,1,1,1,0,0,109.43,0,UPI,0,0.0,0
U5246,S138502,2025-01-14,Organic Search,Desktop,North,Books,P1411,1,1,0,0,0,91.57,0,UPI,0,0.0,1
U5356,S120662,2025-05-08,Social Media,Mobile,North,Electronics,P1386,1,1,1,1,1,113.68,0,Net Banking,0,9806.8,0
U3591,S142856,2025-02-17,Social Media,Mobile,South,Sports,P1041,1,1,1,1,0,86.18,0,Net Banking,0,0.0,1
U9465,S123999,2025-04-16,Direct,Mobile,South,Fashion,P1085,1,0,0,0,0,8.91,1,Credit Card,1,0.0,1
U3291,S125464,2025-02-18,Paid Ads,Desktop,North,Fashion,P1203,1,1,0,0,0,135.71,0,Credit Card,0,0.0,0
U15996,S149040,2025-05-18,Social Media,Mobile,West,Beauty,P1058,1,1,1,0,0,52.39,0,Credit Card,0,0.0,0
U15064,S116153,2025-01-21,Paid Ads,Mobile,East,Sports,P1123,1,1,0,0,0,97.31,0,Wallet,0,0.0,1
U6259,S109270,2025-01-24,Social Media,Desktop,North,Beauty,P1012,1,1,0,0,0,116.27,0,UPI,1,0.0,1
U87,S113615,2025-06-18,Organic Search,Mobile,South,Grocery,P1011,1,1,1,0,0,5.0,0,COD,0,0.0,0
U14227,S110542,2025-05-01,Email,Mobile,West,Beauty,P1174,1,1,0,0,0,34.79,0,Credit Card,0,0.0,0
U10746,S140930,2025-01-27,Social Media,Desktop,Central,Home & Kitchen,P1133,1,1,0,0,0,96.68,0,UPI,0,0.0,0
U13514,S109623,2025-01-30,Direct,Mobile,East,Electronics,P1195,1,1,0,0,0,30.06,0,UPI,0,0.0,1
U12929,S105965,2025-02-06,Social Media,Mobile,East,Home & Kitchen,P1215,1,1,1,1,0,112.03,0,Debit Card,0,0.0,1
U1615,S125841,2025-02-02,Organic Search,Desktop,West,Grocery,P1269,1,0,0,0,0,20.4,1,Credit Card,0,0.0,1
U13223,S128315,2025-02-10,Affiliate,Mobile,West,Books,P1118,1,0,0,0,0,6.95,1,UPI,1,0.0,0
U13134,S137001,2025-06-19,Affiliate,Mobile,West,Fashion,P1079,1,1,0,0,0,84.01,0,Net Banking,0,0.0,1
U3142,S121474,2025-05-05,Affiliate,Mobile,West,Home & Kitchen,P1426,1,1,1,0,0,94.95,0,Debit Card,0,0.0,1
U8279,S119633,2025-06-21,Paid Ads,Tablet,West,Electronics,P1445,1,0,0,0,0,15.22,1,Wallet,0,0.0,1
U556,S128536,2025-03-28,Organic Search,Desktop,West,Home & Kitchen,P1157,1,0,0,0,0,6.15,1,UPI,0,0.0,1
U17130,S115264,2025-02-21,Organic Search,Mobile,South,Home & Kitchen,P1484,1,0,0,0,0,10.84,1,UPI,0,0.0,0
U201,S100789,2025-02-20,Social Media,Mobile,Central,Beauty,P1092,1,1,1,1,0,89.15,0,Debit Card,1,0.0,1
U17769,S119040,2025-03-19,Affiliate,Mobile,East,Fashion,P1410,1,1,0,0,0,107.71,0,Credit Card,1,0.0,0
U10962,S133977,2025-03-08,Email,Desktop,East,Electronics,P1026,1,1,0,0,0,114.82,0,Credit Card,0,0.0,1
U17957,S108482,2025-06-03,Social Media,Mobile,North,Fashion,P1079,1,0,0,0,0,14.24,1,COD,0,0.0,0
U3342,S120001,2025-06-12,Organic Search,Tablet,South,Grocery,P1367,1,1,0,0,0,113.07,0,Debit Card,1,0.0,0
U14667,S149490,2025-02-01,Direct,Mobile,East,Fashion,P1285,1,0,0,0,0,13.91,1,Credit Card,1,0.0,0
U7885,S110563,2025-01-11,Organic Search,Desktop,Central,Fashion,P1300,1,0,0,0,0,14.23,1,Debit Card,0,0.0,1
U7825,S135723,2025-02-19,Organic Search,Mobile,Central,Fashion,P1030,1,1,0,0,0,128.6,0,UPI,0,0.0,1
U8739,S142326,2025-02-10,Direct,Desktop,South,Grocery,P1352,1,1,0,0,0,17.23,0,UPI,0,0.0,0
U15668,S131404,2025-03-09,Paid Ads,Mobile,West,Fashion,P1257,1,0,0,0,0,4.92,1,Debit Card,1,0.0,0
U3056,S106489,2025-03-25,Organic Search,Desktop,East,Fashion,P1047,1,1,1,0,0,71.4,0,Credit Card,0,0.0,1
U1529,S112305,2025-04-05,Direct,Mobile,North,Sports,P1473,1,1,0,0,0,75.5,0,Credit Card,0,0.0,1
U6324,S105073,2025-01-24,Paid Ads,Mobile,East,Home & Kitchen,P1227,1,0,0,0,0,18.24,1,Credit Card,0,0.0,0
U16293,S133173,2025-03-31,Email,Mobile,Central,Home & Kitchen,P1153,1,1,0,0,0,137.35,0,Debit Card,0,0.0,1
